id,title,description,keywords,sector,group,jurisdiction,frequency,granularity_spatial,granularity_temporal,date_earliest,date_latest,access_type,format,provider,reference,url,access_method
17,Administrative Boundary Database,"contains georeferenced Administrative Boundary Database with Entire country Upto Taluk level with HQ, Entire country Upto Distt. level with HQ, State Upto Taluk level with HQ, State Upto Distt. level with HQ  Scale of 1:1M",administrative; boundaries,Administrative Context,,India,unknown,cd block / town,one-time,,2023,open,shapefile,Survey of india,"Survey of India (2024) Online Maps Portal, NA",https://onlinemaps.surveyofindia.gov.in/Digital_Product_Show.aspx,Go to source URL
15,Administrative Setup Jaipur,"contains the Name of Panchayat samiti , No. of Gram Panchayat, No. of Villages , Tehsil(s) or (No. of Villages) , and Census Towns
",panchayat aamit; gram panchayats; census towns,Administrative Context,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg. 12",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
16,Cadastal Map,Boundary for individual plots based on ownership. ,cadastal map,Administrative Context,,Rajasthan,unknown,state,one-time,,2024,open,printed map,"Bhunaksha, rajasthan","Bhunaksha, NA",https://bhunaksha.rajasthan.gov.in/,Go to source URL
3,Evolution Of Jaipur Urban Extent,This dataset provides the information The growth of Jaipur's urban area over time,built up; urban area; urban growth,Administrative Context,L&T Infra Engineering Transport Study,City level,unknown,region,one-time,1989,2014,private,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 6-1, Pg 6-2",Document not yet published,Not currently available
2,Gram Panchayat Of Jaipur Region,This dataset provides boundaries for Gram Panchayats in Jaipur Region.,gram panchayat; boundaries,Administrative Context,master plan map,Jaipur Urban Area (2018),unknown,region,one-time,,2011,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 3-3, pg. 131",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
11,Jda Base Map,"Contains the base map of JDA region, Jaipur",base map,Administrative Context,master plan map,Jaipur Development Authority (2018),unknown,region,one-time,,2019,open,printed map,JDA,"JDA (2009) Key Maps, NA",https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/key-maps.html,Go to source URL
10,Jda Zonal Plan,"Contains the zonal Plan of JDA region, Jaipur dated 2018",boundaries,Administrative Context,master plan map,Jaipur Development Authority (2018),unknown,region,one-time,,2018,open,printed map,JDA,"JDA (2018) Zonal Development Plan, NA",https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/zonal-development-plan.html,Go to source URL
5,"List Of Existing Towns With Present Population, Future Population And Their Class By 2025","List of existing town with present population, future population and their class by 2025 should be used with Map 2-45 Optimum Connectivity of future towns.",towns; population; connectivity,Administrative Context,master plan data,Jaipur District,unknown,district,one-time,,2001,open,printed table,JDA,"JDA (2011) Master Development Plan 2025, vol1, Table 2-39, pg. 121",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
13,Nagar Nigam Jaipur Greater Map,Contains the Nagar Nigam Jaipur Greater Map,administrative; boundaries,Administrative Context,master plan map,Nagar Nigam Jaipur Greater (2019),unknown,region,one-time,,2019,open,printed map,JDA,"JDA (2011) Key Maps, NA",https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/key-maps.html,Go to source URL
14,Nagar Nigam Jaipur Heritage Map,Contains the Nagar Nigam Jaipur Heritage Map,administrative; boundaries,Administrative Context,master plan map,Nagar Nigam Jaipur Heritage (2019),unknown,region,one-time,,2019,open,printed map,JDA,"JDA (2011) Key Maps, NA",https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/key-maps.html,Go to source URL
6,Population Density Map Of Jaipur Region,This dataset provides population density for Jaipur Region.,population,Administrative Context,L&T Infra Engineering Transport Study,Jaipur District,unknown,district,one-time,,2011,private,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 2-8, pg.2-12",Document not yet published,Not currently available
7,Population Density Of Jmc And Satellite Towns,This dataset provides population density of JMC and Satellite Towns.,population,Administrative Context,L&T Infra Engineering Transport Study,Jaipur Region ,unknown,region,one-time,,2018,private,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 2-6, pg. 2-10",Document not yet published,Not currently available
1,Villages In Jaipur Region,This dataset provides names of villages in Jaipur Region.,villages; administrative,Administrative Context,master plan map,Jaipur District,unknown,district,one-time,,2011,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Heading 2.8, map on pg no. 109",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
12,Walled City Jaipur,Contains the map of Wall City Jaipur,administrative; boundaries,Administrative Context,master plan map,Jaipur Wall City (1987),unknown,region,one-time,,2019,open,printed map,JDA,"JDA (1987) Key Maps, NA",https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/key-maps.html,Go to source URL
8,Ward Wise Population Density Of Jmc,This dataset provides wardwise population density of JMC area.,population; wards; adminstrative; boundaries,Administrative Context,L&T Infra Engineering Transport Study,Jaipur Municipal Corporation,unknown,region,one-time,,2011,private,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 2-7, pg. 2-11",Document not yet published,Not currently available
4,Zones And Wards In Jaipur,This dataset provides boundaries for zones and wards in Jaipur (as per census 2001),administrative; boundaries,Administrative Context,master plan map,Jaipur District,unknown,district,one-time,,2001,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 3-2, pg. 130",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
9,Zoning Map- Jaipur District,"The district has been divided into 4 zones, namely, the ecosensitive zone, agriculture dominant zone, urban zone and the rural zone. The map Shows the zoning and growth nodes in the District.",planning; administrative; baoundaries,Administrative Context,master plan map,Jaipur District,unknown,district,one-time,,2011,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 2-35, pg no. 110",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
24,Age-Wise Population And Sex Distribution,"contains age groups,male and female distribution",age; gender,Demographics,,Jaipur District,unknown,district,one-time,,2001,open,printed table,"Directorate of Census Operations, Rajasthan","JDA (2011) Master Development Plan 2025, vol1, Table 2-9, pg.56",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
64,"Decadal Change In Population Of Tahsils By Residence, 2001-2011","contains the Tahsil, Population (2001 and 2011), Percentage decadal variation 2001-2011,  Percentage urban population",population; tehsils,Demographics,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T01_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
23,Decadal Growth Rate In Jaipur Region,This dataset shows the decadal population growth rate in JMC and Sattelite towns,population; growth,Demographics,L&T Infra Engineering Transport Study,JMC+Satellite towns,unknown,city,one-time,1991,2011,private,printed table,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Table 6-5 pg 6-7",Document not yet published,Not currently available
25,Decadal Sex Ratio Of Jaipur District,contains sex ratio of Jaipur district(1961-2001),gender; sex,Demographics,,Jaipur District,unknown,district,one-time,1961,2001,open,printed table,"Directorate of Census Operations, Rajasthan","JDA (2011) Master Development Plan 2025, vol1, Table 2-10, pg. 56",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
29,Demographic and Socio-Economic District Profile,"contains the summary of the census of jaipur district like Number of Villages,Number of Towns ,  Number of Households, Population , Percentage Urban Population, Decadal Population Growth 2001-2011 , Area (in sq Km.), Density of Population (Persons per sq Km.), Sex Ratio , Literates , Scheduled Castes, Scheduled Tribes, Workers and Non-Workers, and Category of Workers (Main & Marginal), ",population; census; urban rural,Demographics,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg. 14-15",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
87,Economic activity by sex,"contains the Name of town, Persons/ Males/ Females, Total population, Total workers (main + marginal workers), Category of workers: Cultivators, Agricultural labourers, Household industry workers, Other workers in Number & Percentage",economic activity; gender; sex,Demographics,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T35_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
21,Existing Gross Density Within Wards Of Jaipur Region (2011),This datset provides gross density within wards of Jaipur for 2011. ,population; wards; census,Demographics,master plan map,Jaipur Municipal Corporation Greater (2019),unknown,region,one-time,,2011,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 4-6, pg. 219",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
20,Gross Density Within Wards Of Jaipur Region- Census 2001,This dataset provides gross density within wards of Jaipur Region for 2001.,population; wards; census,Demographics,master plan map,Jaipur Municipal Corporation Greater (2019),unknown,region,one-time,,2001,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 4-5, pg.219",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
77,"Literacy, Total And By Sex Or Scheduled Caste","contains the Name  of town, Number of literates and illiterates, Literacy rate and Gap in male-female literacy rate ",literacy; gender; sex; caste,Demographics,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T23_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
84,"Main, marginal and non-workers by sex","contains the Name of  town, Persons/ Males/ Females, Total population, Main workers, Marginal workers and Non workers (Number & Percentage)",workers; gender; sex,Demographics,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T32_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
19,Major Settlements Within The Jaipur Region,"This dataset provides satellite towns located under JDA region, their classification and population based on Census 2001.",satellite towns; growth; settlements; census,Demographics,,Jaipur Region,unknown,region,one-time,,2011,open,printed table,JDA,"JDA (2011) Master Development Plan 2025, vol1, Table 3-2, pg. 133",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
72,"Number And Percentage Of Scheduled Castes And Scheduled Tribes Population In Sub-Districts, 2011","contains the Name of Sub-District, Total/ Rural/ Urban, Total population, Total scheduled castes population, Total scheduled tribes population, Percentage of scheduled castes population to total population, Percentage of scheduled tribes population to total population",caste; tribes,Demographics,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T13_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
73,"Number And Percentage Of Scheduled Castes And Scheduled Tribes Population In Towns, 2011","contains the Name of town, Total Population, Total scheduled castes population, Total scheduled tribes population, Percentage of scheduled castes population to total population, Percentage of scheduled tribes population to total population",caste; tribes,Demographics,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T17_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
22,Past Trends Of Population In Jaipur Region,This dataset shows the Past Trends of Population in JMC and Satellite Towns,population; growth,Demographics,L&T Infra Engineering Transport Study,JMC+Satellite towns,unknown,city,one-time,1991,2011,private,printed table,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Table 6-3, pg 6-6",Document not yet published,Not currently available
28,Population And Households,"contains jaipur city zone name, wardname, ward no., Area (in sq km), Total Population (in thousands)",population; households,Demographics,Smartcities.gov.in data,Jaipur City,unknown,ward,one-time,,2011,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/demographic-profile-jaipur,Go to source URL
89,"Proportion Of Slum Population In Towns, 2011","contains the Name of the town having slum, Total population , Slum population, Percentage of slum population to total population",settlements; slums,Demographics,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T44_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
26,Registered Voters,"contains jaipur city zone name, wardname, ward no., Total no. of registered voters, No. of votes polled in the last municipal election, No. of Polling Stations / booths",voters,Demographics,Smartcities.gov.in data,Jaipur City,unknown,ward,one-time,,2019,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/registered-voters-jaipur,Go to source URL
88,"Schools/ Colleges Per 10,000 Population In Towns, 2011","contains the Name of the town, Type of educational institution (Approx. numbers) of Primary, Middle, Secondary / matriculation, Senior secondary, and College",education; facilities,Demographics,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T42_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
30,Socio-economic Characteristics,"contains the Location code number, District/ CD Block/Town, Total/Rural/Urban, Area in Square Kilometre, Number of households, Total population (including institutional and houseless population in persons,male,female), Population in the age-group 0-6, Scheduled Castes population, Scheduled Tribes population,and Literates",age; gender; sex; literacy; workforce; occupation; employment; industry; census,Demographics,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg. 24-25, pg. 30-31",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
31,Industrial category of main workers,"contains the Location code number, District/ CD Block/Town, Total/Rural/Urban for Total workers (Persons, Males, Females), Main worker(Persons, Males, Females), Cultivators, Agricultural labourers, Household industry workers, Other workers",workers; industry,Demographics,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg. 26-27, pg. 32-33",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
32,Industrial category of marginal workers,"contains the Location code number, District/ CD Block/Town, Total/Rural/Urban for Marginal workers(Persons, Males, Females), Cultivators, Agricultural labourers, Household industry workers, Other workers, and Non-workers.",workers; industry,Demographics,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg. 28-29, pg. 34-35",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
90,Status And Growth History Of Towns In Jaipur,"contains the Class, name and civic status of town, Location Code No., Name of Taluk/ Tahsil/ Police Station/Islands etc., Name of CD block, Area(sq. Km.), Number of households including houseless households (2011 Census), Scheduled Castes Population (2011 Census), Scheduled Tribes Population (2011 Census), Status and Growth History(1901-2011), Density        (2011 Census) and Sex ratio",population; growth; settlements,Demographics,Census handbook,Jaipur District,unknown,district,one-time,,2009,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, Town Statement-I_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
33,Scheduled Caste and Scheduled Tribes Population,"contains the Location Code, Name of Town, Name of Ward, Boundaries of Urban Block /EB Number, Total Population, Scheduled Castes Population, Scheduled Tribes Population",population; caste; tribes; administrative,Demographics,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg. 38-189",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
